name,id,type,organisation,author,author_email,maintainer,maintainer_email,notes,updated
Bolton Supplier Spend - November 2010,0b9748c9-3cc9-4125-abf3-f7b13afb7251,dataset,Bolton Metropolitan Borough Council,Bolton Metropolitan Borough Council,expenditureover500@bolton.gov.uk,Bolton Metropolitan Borough Council,expenditureover500@bolton.gov.uk,Supplier Spend £500+,2013-12-08
Bus lanes in GM by district,2a0134b3-07f6-4cf3-b0e6-743fd729fbd7,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Bus lanes in Greater Manchester by district, location and length. Source: TfGM (HFAS). RESTRICTIONS: None

",2013-12-08
Bus patronage UK and selected EU cities,b2445e4c-5d0a-4f26-a866-bcfd098cb7af,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Bus Patronage in the UK & Selected EU cities. Source: PTEG / EMTA / DfT. RESTRICTIONS: none

",2013-12-08
Car Occupancy,3257bcbd-990d-4e2c-b5d7-541d4c175515,dataset,Transport for Greater Manchester,Craig Berry,NA,Paul Westland,NA,Average Peak and Off-Peak Car Occupancy in Greater Manchester,2013-12-08
Categories of railway stations in GM,a18f7e3a-d9e2-4a4b-b5cd-d26d676db423,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"GM railway stations by category & facilities operator (Nor=Northern, FTPE=First Transpennine, NR=Network Rail, VT=Virgin trains). Source: TfGM. RESTRICTIONS: none

",2013-12-08
Census 2001 Single Adult Households,72001827-3007-4c64-86d6-f931944f81d4,dataset,Association of Greater Manchester Authorities,Office for National Statistics,NA,NA,NA,"Number of 18 to 64 year olds living in single adult households, from 2001 Census.",2013-12-08
Census 2001 Accommodation Type,84dce198-f080-4f79-8b55-d50ab0937581,dataset,Association of Greater Manchester Authorities,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Census 2001 Amenities,7a7ea15f-aa64-4a53-a958-71bb368f4ce5,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,This dataset is taken from the 2001 Census and shows the number of occupied household spaces with/without central heating and with/without baths and showers.,2013-12-08
Census 2001 Armed Forces,9c5e28cb-16ed-44c0-b903-4d13c49aedbf,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Location and type of residence for armed forces across the Greater Manchester local authorities. The set is taken from the 2001 Census.,2013-12-08
Census 2001 Cars or Vans,65ff4421-6acb-4149-a8ff-4b43d6bb5e0d,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,This dataset shows number of households which have one or more cars or vans. From Census 2001.,2013-12-08
Census 2001 Communal Establishment Residents,e72f99a8-ca63-46bb-92b9-1f6ea12156a2,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Number of residents living in communal establishment, from 2001 Census.",2013-12-08
Census 2001 Distance Travelled to Work Daytime Population,a2470bdb-6ff4-429f-9438-93d89b981404,dataset,Association of Greater Manchester Authorities,NA,NA,NA,NA,"Daytime population refers to the number of people who are present in an area during normal business hours, including workers. This is in contrast to the “resident” population present during the evening and nighttime hours.",2013-12-08
Census 2001 Distance Travelled to Work Resident Population,f31ffa69-ca29-4101-b3ee-ba596acebc55,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Distance travelled to work for the resident population, people who live and sleep in the area. The distance travelled to work is measured in kilometres of a straight line between the residence postcode and the workplace postcode.",2013-12-08
Census 2001 Dwellings,d3c17e75-3f3a-4655-96ac-865344b80d46,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Number of shared and unshared dwellings from the 2001 Census.,2013-12-08
Census 2001 Economic Activity All,f7e3f073-ce87-4921-a852-cefeea3d855a,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Economic activity (whether or not a person is working or looking for work) ,2013-12-08
Census 2001 Economic Activity Females,9ae2df67-a7a0-4a4a-868a-8c6dcc39acef,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Economic activity for females (whether or not a person is working or looking for work) ,2013-12-08
Census 2001 Economic Activity Males,f571f3f2-5eb0-4628-941d-bf1cb862e3d0,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Economic activity among males (whether or not a person is working or looking for work) ,2013-12-08
Census 2001 Economic Activity Students,c13e4599-55fb-48a5-b997-6e92cc93db0a,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Economic activity among full-time students (whether they are unemployed, employed or looking for work)",2013-12-08
Census 2001 Ethnicity,4d4bec09-e6c6-48ff-a2ba-af12f9729b90,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Ethnic group of population from the 2001 Census.,2013-12-08
Census 2001 General Health,cd7156df-e92d-4129-94fd-cf0922ecbc91,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Residents' self-classification of their health as 'good', 'fairly good' and 'not good' from the 2001 Census.",2013-12-08
Census 2001 Health and Provision of Unpaid Care,e4a7eefa-a934-4c97-8278-cb1009c0267c,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,This table provides information on the health of and provision of unpaid care by the population of Greater Manchester. ,2013-12-08
Census 2001 Hours Worked,a3d9bf4d-b661-4db8-b096-c27180693109,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Number of hours worked per week. From the 2001 Census.,2013-12-08
Census 2001 Household Spaces,932d961b-1e1d-4dc9-9f57-4ae36736097f,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Number of spaces per type of household, from 2001 Census.",2013-12-08
Census 2001 Housing Stock,a81bc5dc-5053-4fd3-be4d-5a1180ff4e52,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Occupied and vacant household spaces, from Census 2001.",2013-12-08
Census 2001 Living Arrangements,519aa575-3daf-430a-8bf3-e1d074b3ddc0,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"This dataset shows living arrangements by marital status and relationship matrix. This means that a person living as part of a 'cohabiting couple' could in fact be married (to someone else) but will not appear as married or separated in this classification.

A person not living in a couple can be classified married (or re-married) if they denote their marital status as married (or re-married) but have no spouse or partner resident in the household.

",2013-12-08
Census 2001 Lowest Floor Level,d08971fc-dbbe-45c9-b9a2-72bfdeac3f75,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,All households by the lowest floor level of the accommodation lived in.,2013-12-08
Census 2001 Marital Status,96464d90-f9e5-4012-a504-f9671f54f82c,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Migration Households,e6282008-9192-47a1-8e6c-f624e3045653,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Migration of households.,2013-12-08
Census 2001 Multiple Ethnic Group,eb672e38-2331-4eab-ab3f-e8050ea0c1d8,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,This dataset shows the number of people who are of multiple ethnic origin.,2013-12-08
Census 2001 Number of People in Households,980d0cae-5063-4857-94c5-4892dc967dd0,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Number of Rooms,701d78a6-9a49-479e-974f-895d2c05f0f3,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,The count of the number of rooms in a household's accommodation.,2013-12-08
Census 2001 Occupation Group,68febede-3627-40fb-9fc9-0f9915df7b64,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Number of people in the different occupation groups as per the 2001 Census.,2013-12-08
Census 2001 Occupation Group Females,c6fa5a5a-ee67-47d0-9c9d-63f277b0508e,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Number of females in different occupation groups.,2013-12-08
Census 2001 Persons per Room,da69d14e-d807-41eb-aae5-bcfc0233477d,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Tenure and persons per room by accommodation type.,2013-12-08
Census 2001 Persons per Room Household Residents,82efa4b0-b77e-4024-ab07-296c4bc2fc0b,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Residency of Population,f8847d0d-23b1-43ee-b7fd-3c1fe268d711,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Number of people in different types of residency, including rough sleepers.",2013-12-08
Census 2001 Population Age Structure,18ab20a8-5bec-4007-8849-003dab31b149,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Population by age bracket.,2013-12-08
Census 2001 Population Density,1151dce0-3cfb-43fa-aed6-cbf3654bf7eb,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Qualificiations,f7ed0f19-0ef2-461b-8ca9-7c98b11b4ede,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Religion,f490823f-42f8-4adc-ad79-85fd06172039,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Residents Household NSSeC Reference Person,04b1e53d-26d3-4935-90e8-d49f503f7233,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Number of residents per household according to the 
National Statistics Socio-economic Classification (NS SEC) of the Household Reference Person.


The NS-SEC is a flexible and structured, occupationally based classification.

",2013-12-08
Census 2001 Same Sex Couples,e56f441b-0676-4ef3-8a99-bad3952e2ed0,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Number of same-sex couples living in each local authority.,2013-12-08
Census 2001 Social Grade of Workplace Population,3d3c8075-98e9-4192-91a7-0826981925ea,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Estimated social grade of workplace population. 

The workplace population is defined as the people aged 16 to 74 who are in employment and whose usual place of work is in the area.",2013-12-08
Census 2001 Socio-Economic Classification,bc4db313-a5c3-4b35-9e0b-0e1d96fc7bc4,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Socio-economic classification by occupation group.,2013-12-08
Census 2001 Socio-Economic Classification All,d0644f04-5688-4709-bef9-52fbc02cb8b0,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Socio economic classification by occupation.,2013-12-08
Census 2001 Socio-Economic Classification Females,43aae06c-2462-4b80-ace8-1146e1c2a0b2,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Socio economic classification of females by occupation.,2013-12-08
Census 2001 Socio-Economic Classification Males,83437f61-934e-4634-b1a1-009bd06e76d3,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Socio economic classification of males by occupation.,2013-12-08
Census 2001 Tenure All People,3dd3574d-7432-4d11-95b7-5000049cbe7b,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Tenure of Household.,2013-12-08
Census 2001 Tenure of Households,65f4bc6c-6abe-4749-9d64-883a0ee2f248,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Tenure of Household,2013-12-08
Census 2001 Time Since Last Worked,d73af651-b077-423b-bff6-1255a8afa37f,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,Time since last in employment.,2013-12-08
Census 2001 Usual Resident Population,bb5c746b-f4a2-4892-976c-cbdfafa2f767,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Number of people 'usually resident"" in a particular area (where they live and sleep most of the time), from Census 2001.",2013-12-08
Census 2001 Distance Travelled to Work,eb149d92-04b9-49bb-94a4-4182b1b9cf3b,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Distance travelled to work, including those working abroad and at offshore installations. From 2001 Census.",2013-12-08
Census 2001 NSSeC Household Reference Person under Pension Age,67b230fa-c803-458b-a63d-6ac2ceaa6687,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Household Reference Persons by their National Statistics Socio-economic Classification (NS SEC). 

The NS-SEC is a flexible and structured, occupationally based classification.

",2013-12-08
Census 2001 Occupation Group,ec2ebb28-35e8-4c49-ba8b-22f896e512c8,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,"Employment by socio-economic occupation group (managers, professionals etc.) ",2013-12-08
Census 2001 Population by Sex,57192293-1235-43bc-8f69-d4c6881e9e4d,dataset,Association of Greater Manchester Authorities,ONS,NA,NA,NA,NA,2013-12-08
Crime Statistics April 2011 (By Neighbourhood),b0cd6aa5-b855-4550-88c9-34652a128d27,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics April 2011 (By Street),faf274be-cd21-4aba-ae4a-d122420e5ded,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics August 2011 By Neighbourhood,11b7f4f3-7d70-4c7b-8871-e32b984e1cc8,dataset,Greater Manchester Police,Police UK,NA,Police UK,NA,Greater Manchester crime statistics for August 2011 by neighbourhood,2013-12-08
Crime Statistics August 2011 By Street,64466cf2-0b59-4821-b8a2-c720b2608c98,dataset,Greater Manchester Police,Police UK,NA,Police UK,NA,Greater Manchester crime statistics by street for August 2011,2013-12-08
Crime Statistics December 2010 (By Neighbourhood),85c0f5de-5b55-4f8d-9a28-d918b8fedc3f,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics December 2010 (By Street),0bb387be-e818-4d73-9df0-1445207e6122,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics February 2011 (By Neighbourhood),7de13740-391d-4556-a7b5-54a45617ed3a,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics February 2011 (By Street),4f8ba0c1-3cbc-4f85-98fe-c4553d2010d0,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics January 2011 (By Neighbourhood),45f5a21b-3a70-4294-8ace-042b39889155,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics January 2011 (By Street),d2cf1c26-161a-4644-a630-e282470c160d,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics July 2011 By Neighbourhood,2d4d617a-df7a-4e84-bc35-2412ec01bc2d,dataset,Greater Manchester Police,Police UK,NA,Police UK,NA,Greater Manchester crime statistics by neighbourhood for July 2011,2013-12-08
Crime Statistics July 2011 By Street,29faafa2-3af6-4c41-90fc-c6cbe20902c2,dataset,Greater Manchester Police,Police UK,NA,Police UK,NA,Greater Manchester crime statistics by street for July 2011,2013-12-08
Crime Statistics June 2011 (By Neighbourhood),f5bfe67b-9026-4d51-84d9-efbce4816922,dataset,Greater Manchester Police,PoliceUK,NA,NA,NA,Greater Manchester crime statistics for June 2011 by neighbourhood.,2013-12-08
Crime Statistics March 2011 (By Neighbourhood),516d7eda-3ff8-472e-a420-edebf3425ca0,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics March 2011 (By Street),e2ae04b7-1b8e-4edd-9ad4-772b530382de,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics May 2011 (By Neighbourhood),c47aea9f-a246-4d3a-ae85-7d2da3b70d7e,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Crime Statistics May 2011 (By Street),320cea0f-523b-460d-95b9-0dc3e7e9a261,dataset,Greater Manchester Police,NA,NA,NA,NA,NA,2013-12-08
Cycle market data,88c36f16-ba8f-44b0-9dc4-d05353eb681b,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Cycle market data covering UK & EU bike sales, bike ownership, mode share, to 2011 where available. Sources: Various (Association of the European Bicycle Industry, Cycling Demonstration Towns data). RESTRICTIONS: None",2013-12-08
Fire Home Safety Checks - Completed and Refused,97b826e0-3d16-4099-bd69-5685a2b112bf,dataset,Greater Manchester Fire and Rescue Service ,GMFRS,NA,NA,NA,"Data on fire Home Safety Checks completed by Greater Manchester Fire and Rescue Service, by Ward and LSOA. Also shows how many were refused.",2013-12-08
GCSE Results by Local Authority from 2005/6-2009/10,ea30a92c-2d42-48c9-8963-b2f14e966d78,dataset,Association of Greater Manchester Authorities,Department for Education Department for Buisness Innovation and Skills,attainment.statistics@education.gsi.gov.uk,attainment.statistics@education.gsi.gov.uk,NA,GCSE results by Greater Manchester local authority at the end of Key Stage 4 and by gender from 2005/6-2009/10,2013-12-08
GMFRS Risk and Response Times by Ward,410727d1-061a-4323-b601-ea696bacace8,dataset,Greater Manchester Fire and Rescue Service ,GMFRS,NA,NA,NA,"File showing the categorisation of risk of Wards in GM by Greater Manchester Fire and Rescue Service, as well as the response time to that ward.",2013-12-08
Indices of Multiple Deprivation 2010,651b2dff-a90a-4e38-ad4e-54356534c5db,dataset,Association of Greater Manchester Authorities,Department for communities and Local Government,indices.deprivation@communities.gsi.gov.uk,Deparment for communities and local government,indices.deprivation@communities.gsi.gov.uk,Indices of Multiple Deprivation for each Greater Manchester authority 2010,2013-12-08
Indices of Multiple Deprivation Health and Disability 2010,22d91112-a74b-422c-9337-9fcfee5b3d58,dataset,Association of Greater Manchester Authorities,Department for communities and Local Government, indices.deprivation@communities.gsi.gov.uk,Deparment for communities and local government, indices.deprivation@communities.gsi.gov.uk,Health and Disability area of the English Indices of Deprivation 2010,2013-12-08
Key Stage 2 School Performance Tables 2011,5578e870-30f6-482e-a3d5-38f4f39fbba0,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,School performance tables for each Key Stage 2 provider in GM.  Guidance can be found at education.gov.uk,2013-12-08
Key Stage 4 School Performance Tables 2011,ea0b3dd6-83ff-48a9-9f75-313a4f05ef2f,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,School performance tables for each Key Stage 4 provider in GM. Guidance can be found at education.gov.uk,2013-12-08
Key Stage 5 School Performance Tables 2011,43c71fc9-ad74-4aca-a82b-8d0071dbba68,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,School performance tables for each Key Stage 5 provider in GM.  Guidance can be found at education.gov.uk,2013-12-08
Life Expectancy at Birth 2007-2009,a989f584-35e2-4e38-8196-60325023d550,dataset,Association of Greater Manchester Authorities,Department for Health,dais@ic.nhs.uk ,Department for Health,dais@ic.nhs.uk ,Life expectancy at birth for Greater Manchester Authorities for 2007-2009,2013-12-08
Local Authorities with Declared Air Quality Management Areas,1364e16b-d71a-4f32-9684-cbe88d4f8181,dataset,Association of Greater Manchester Authorities,Defra,NA,NA,NA,Greater Manchester Local Authorities With Declared Air Quality Management Areas,2013-12-08
Metrolink Km per passenger 1993 - 2010,9435f60d-0feb-49b5-b2fd-65ed11043a73,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Total Passenger Km travelled on Metrolink 1993 - 2010. Derivation of Km travelled per passenger. Source: TfGM Metrolink. RESTRICTIONS: None

 

",2013-12-08
Metrolink patronage 1993 - 2011,016e05d5-459d-49eb-a341-b9a3aadfeaaf,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Metrolink patronage in GM 1993 - 2011. Source: TfGM Metrolink. RESTRICTIONS: None

",2013-12-08
Mode of travel to work GM and districts,9336b098-7457-4bd9-9db4-4de8d08a7938,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Mode of travel to work by GM and district. UK figures included. Source: 2005 update of 2001 census. (KS15, ONS).   ONS Copyright

",2013-12-08
Nursery School Inspection Judgements 2010_11,743cd5ff-175b-471f-bf6b-2718711d0326,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Oldham Supplier Spend December 2010,392c6d5c-5912-4b3d-b44e-34cf945a4f96,dataset,Oldham Metropolitan Borough Council,mailto:information.manager@oldham.gov.uk,mailto:information.manager@oldham.gov.uk,mailto:information.manager@oldham.gov.uk,NA,Supplier Spend,2013-12-08
Oldham Supplier Spend November 2010,8e870d49-d0f9-429a-b982-77d71661b1ae,dataset,Oldham Metropolitan Borough Council,mailto:information.manager@oldham.gov.uk,mailto:information.manager@oldham.gov.uk,mailto:information.manager@oldham.gov.uk,NA,Supplier Spend  ,2013-12-08
Pilot S8 Deemed S5 Inspection Judgements 2010_11,27b43bec-9952-4124-acee-a3fb09f62050,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Planning applications by authority and type of development 2008-2009,13ec9d02-52aa-48e3-bb8b-0b24f8660997,dataset,Association of Greater Manchester Authorities,Communities and Local Government,contactus@communities.gov.uk,contactus@communities.gov.uk,contactus@communities.gov.uk,Speed and type of planning decisions by local authority for 2008-2009,2013-12-08
Primary School Inspection Judgements 2010_11,323460c4-0020-4c08-bda3-7c98aad2a5ec,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Pupil Referral Unit Inspection Judgements 2010_11,6a12d567-94af-4bcb-b7eb-55dd0aff9833,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Pupil Teacher Ratios for Local Authority Maintained Schools 2010,bfbaaa05-c30c-4e81-b3b1-0b1cd72f84cf,dataset,Association of Greater Manchester Authorities,Department for Education Department for Business Innovation and Skills,richard.howe@education.gsi.gov.uk,richard.howe@education.gsi.gov.uk,richard.howe@education.gsi.gov.uk,"Ratios of pupils to teachers for nursery, primary and secondary schools for each Greater Manchester local authority ",2013-12-08
Rail patronage GM,9e1759e4-ea7a-4924-972e-2dee256d3671,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Rail patronage in GM 1980 - 2011. Source: TfGM RESTRICTIONS: None

",2013-12-08
Rochdale Local Election Candidates 2011,331d0313-c2de-4366-9cea-79b2084b5745,dataset,Rochdale Metropolitan Borough Council,NA,NA,NA,NA,Local election candidates for Rochdale 2011,2013-12-08
Secondary School Inspection Judgements 2010_11,8c356e9d-4072-4542-93ae-5bc31a3c4dd3,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Special School Inspection Judgements 2010_11,8cf5a1db-6225-42f3-ac0e-4386273b65dd,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Sponsor Led Academy Inspection Judgements 2010_11,91d1822e-41cb-420b-8408-1fac5d0ab0c3,dataset,Greater Manchester,Paul Westland,paul.westland@trafford.gov.uk,NA,NA,"This data present inspection judgements for inspections carried out in the academic year 2010/11 where the inspection report had been published by 14 October 2011. Inspectors make judgements on a four point scale (1 = outstanding, 2 = good, 3 = satisfactory, 4 = inadequate).",2013-12-08
Stockport Local Election Candidates 2011,0a1b39e2-9ca8-4425-8ef9-50a8ab8cb342,dataset,Stockport Metropolitan Borough Council,NA,NA,NA,NA,Local election candidates for Stockport 2011,2013-12-08
Taxi and private hire use in GM,77d4c609-6c1f-4a23-bd25-dd3e2c5bd69f,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Taxi statistics available for GM, including travel to work/school by taxi. Source DfT/TfGM data. RESTRICTIONS: none

 

",2013-12-08
Traffic Signal Installations,19a6a3ed-b46b-43a9-80ac-10a92b1eda88,dataset,Transport for Greater Manchester,Criag Berry,NA,Paul Westland,NA,All traffic signal installations across Greater Manchester by district (including H.A & privately maintained sites),2013-12-08
Trafford Local Election Candidates 2011,27b91106-3411-4a89-ab24-ae347e9d0d64,dataset,Trafford Council,NA,NA,NA,NA,Local election candidates for Trafford 2011,2013-12-08
Voting Turnout Trafford Local Elections 2010,e0e73d0f-dbb9-48c1-849b-eca9287763e8,dataset,Trafford Council,NA,NA,NA,NA,Turnout at Trafford local elections for 2010,2013-12-08
Births and Mortality Trafford 2007,830a020b-b371-404b-a68f-f4afbf0199c3,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Births and Mortality Trafford 2008,cce03049-0e58-4486-941e-86f3650325ef,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Births and Mortality in Trafford 2009,52de753b-0bd8-4f87-a820-c9e84c876547,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Births and Mortality in Trafford Wards 2005,899d090c-d0a2-4fa1-90bb-e55526376149,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Births and Mortality in Trafford Wards in 2008,59405776-be80-4551-acd1-8c3ba0573c86,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,"Licence:
Contains Ordnance Survey data © Crown copyright and database right 

For further information see:
http://www.ordnancesurvey.co.uk/oswebsite/opendata/docs/os-opendata-licence.pdf
",2013-12-08
Births and Mortality Wards Trafford 2009,b81e2dfb-445d-48ea-8ca5-bf5a4a82cd83,dataset,Trafford Council,Office for National Statistics,NA,NA,NA,"Licence:
Contains Ordnance Survey data © Crown copyright and database right 

For further information see:
http://www.ordnancesurvey.co.uk/oswebsite/opendata/docs/os-opendata-licence.pdf
",2013-12-08
Ward Lists,7200fb60-601b-40b3-9ab9-a1650e90b1bf,dataset,Greater Manchester,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,NA,2013-12-08
Ward List - Wigan Council,526a62f8-980c-481b-8009-42676840406c,dataset,Wigan Metropolitan Borough Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,NA,2013-12-08
Wigan Council Senior Salary Information,4ab30689-421f-4df7-b84a-2c4f24728053,dataset,Wigan Metropolitan Borough Council,mailto:businesstransformation@wigan.gov.uk,mailto:businesstransformation@wigan.gov.uk,NA,mailto:businesstransformation@wigan.gov.uk,Senior Salary Information for Wigan Council,2013-12-08
Wigan Council Tax Bands,4bb38155-4ffd-47bd-bbe7-2f954c749028,dataset,Wigan Metropolitan Borough Council,mailto:businesstransformation@wigan.gov.uk,mailto:businesstransformation@wigan.gov.uk,NA,mailto:businesstransformation@wigan.gov.uk,Council Tax Bands in Wigan,2013-12-08
Wigan Local Election Candidates 2011,7127dbb7-e88f-4012-bd77-ca2ac40bc896,dataset,Wigan Metropolitan Borough Council,NA,NA,NA,NA,Local election candidates for wigan 2011,2013-12-08
Wigan Supplier Spend - October to December 2010,dd6405c9-95db-47dd-9de0-34b85cb4a2d1,dataset,Wigan Metropolitan Borough Council,Wigan Council,NA,NA,NA,Supplier Spend £500+,2013-12-08
Trafford Supplier Spend 2011,e4529c5c-475f-4908-a129-4a280ce11877,dataset,Trafford Council,,,,,"Collection of CSV files showing supplier spend in Trafford in 2011, arranged by month.",2013-12-08
